,Coin,Cur. Rank,Close,Date,High,Low,Market Cap,Open,Volume
0,bitcoin,1,8913.47,"Mar 20, 2018",9051.02,8389.89,"145,922,000,000",8619.67,"6,361,790,000"
1,bitcoin,1,8630.65,"Mar 19, 2018",8675.87,8182.40,"141,240,000,000",8344.12,"6,729,110,000"
2,bitcoin,1,8223.68,"Mar 18, 2018",8245.51,7397.99,"133,547,000,000",7890.52,"6,639,190,000"
3,bitcoin,1,7916.88,"Mar 17, 2018",8346.53,7812.82,"140,834,000,000",8321.91,"4,426,150,000"
4,bitcoin,1,8338.35,"Mar 16, 2018",8585.15,8005.31,"140,834,000,000",8322.91,"5,289,380,000"
5,bitcoin,1,8300.86,"Mar 15, 2018",8428.35,7783.05,"140,275,000,000",8290.76,"6,834,430,000"
6,bitcoin,1,8269.81,"Mar 14, 2018",9355.85,8068.59,"155,891,000,000",9214.65,"6,438,230,000"
7,bitcoin,1,9194.85,"Mar 13, 2018",9470.38,8958.19,"155,168,000,000",9173.04,"5,991,140,000"
8,bitcoin,1,9205.12,"Mar 12, 2018",9937.50,8956.43,"162,421,000,000",9602.93,"6,457,400,000"
9,bitcoin,1,9578.63,"Mar 11, 2018",9711.89,8607.12,"149,716,000,000",8852.78,"6,296,370,000"
10,bitcoin,1,8866.00,"Mar 10, 2018",9531.32,8828.47,"158,119,000,000",9350.59,"5,386,320,000"
0,ethereum,2,557.17,"Mar 20, 2018",567.09,521.20,"54,722,100,000",556.72,"1,833,680,000"
1,ethereum,2,556.73,"Mar 19, 2018",558.10,519.12,"53,718,600,000",546.63,"2,046,790,000"
2,ethereum,2,538.64,"Mar 18, 2018",551.64,460.09,"54,200,100,000",551.64,"2,685,500,000"
3,ethereum,2,552.78,"Mar 17, 2018",609.15,549.10,"59,104,200,000",601.68,"1,267,810,000"
4,ethereum,2,601.67,"Mar 16, 2018",623.17,587.86,"60,083,700,000",611.78,"1,417,350,000"
5,ethereum,2,611.30,"Mar 15, 2018",620.62,579.50,"60,371,800,000",614.84,"1,770,460,000"
6,ethereum,2,614.29,"Mar 14, 2018",702.78,594.10,"67,857,600,000",691.22,"1,810,560,000"
7,ethereum,2,690.83,"Mar 13, 2018",713.74,682.35,"68,524,000,000",698.15,"1,425,960,000"
8,ethereum,2,699.83,"Mar 12, 2018",742.51,683.27,"71,086,000,000",724.41,"1,765,000,000"
9,ethereum,2,723.34,"Mar 11, 2018",735.83,668.12,"67,235,700,000",685.31,"1,562,680,000"
10,ethereum,2,686.89,"Mar 10, 2018",748.03,682.70,"71,620,700,000",730.16,"1,532,960,000"
0,ripple,3,0.709808,"Mar 20, 2018",0.736759,0.673427,"28,802,900,000",0.736759,"814,276,000"
1,ripple,3,0.749080,"Mar 19, 2018",0.749080,0.640012,"26,274,600,000",0.672126,"1,096,930,000"
2,ripple,3,0.658777,"Mar 18, 2018",0.677591,0.548815,"24,802,400,000",0.634466,"923,606,000"
3,ripple,3,0.637856,"Mar 17, 2018",0.689434,0.626709,"26,885,100,000",0.687745,"319,824,000"
4,ripple,3,0.689260,"Mar 16, 2018",0.711780,0.674463,"27,327,600,000",0.699063,"502,740,000"
5,ripple,3,0.697269,"Mar 15, 2018",0.730673,0.643845,"27,478,100,000",0.702913,"888,345,000"
6,ripple,3,0.701902,"Mar 14, 2018",0.799080,0.676010,"30,865,600,000",0.789569,"479,149,000"
7,ripple,3,0.789711,"Mar 13, 2018",0.805729,0.778471,"31,213,000,000",0.798451,"279,679,000"
8,ripple,3,0.801048,"Mar 12, 2018",0.838328,0.787882,"32,529,500,000",0.832127,"355,031,000"
9,ripple,3,0.831122,"Mar 11, 2018",0.840407,0.775737,"31,108,000,000",0.795765,"472,972,000"
10,ripple,3,0.796627,"Mar 10, 2018",0.860443,0.793736,"33,418,600,000",0.854872,"402,670,000"
0,bitcoin-cash,4,1059.12,"Mar 20, 2018",1072.42,958.51,"16,996,000,000",998.17,"503,262,000"
1,bitcoin-cash,4,994.67,"Mar 19, 2018",997.28,915.51,"16,048,000,000",942.60,"425,419,000"
2,bitcoin-cash,4,938.12,"Mar 18, 2018",948.28,851.61,"16,143,000,000",948.28,"435,070,000"
3,bitcoin-cash,4,949.78,"Mar 17, 2018",1028.73,930.44,"16,591,000,000",974.70,"411,316,000"
4,bitcoin-cash,4,977.03,"Mar 16, 2018",1053.63,902.78,"16,059,900,000",943.60,"472,033,000"
5,bitcoin-cash,4,943.64,"Mar 15, 2018",954.41,877.10,"16,163,200,000",949.77,"374,741,000"
6,bitcoin-cash,4,949.47,"Mar 14, 2018",1073.12,924.41,"18,233,000,000",1071.50,"406,616,000"
7,bitcoin-cash,4,1064.03,"Mar 13, 2018",1100.07,999.75,"17,883,400,000",1051.07,"458,028,000"
8,bitcoin-cash,4,1051.28,"Mar 12, 2018",1152.56,1022.03,"19,461,500,000",1143.94,"425,558,000"
9,bitcoin-cash,4,1145.17,"Mar 11, 2018",1157.07,973.36,"17,054,300,000",1002.55,"514,167,000"
10,bitcoin-cash,4,1005.93,"Mar 10, 2018",1087.30,994.19,"18,219,100,000",1071.15,"370,367,000"
0,litecoin,5,168.82,"Mar 20, 2018",173.30,156.81,"8,997,260,000",161.52,"492,892,000"
1,litecoin,5,161.14,"Mar 19, 2018",163.05,151.66,"8,658,190,000",155.47,"504,833,000"
