,Coin,Cur. Rank,Close,Date,High,Low,Market Cap,Open,Volume,Day Change [open to high],Day Change [open to close],High Avg,Volume Avg.,Daily rank Market Cap,Daily rank Volume,Change [Close],Change [High],Change [Market Cap],Change [Volume]
0,bitcoin,1,8913.470,2018-03-20,9051.020,8389.890,145922000000,8619.670,6361790000,0.050,0.034,9030.852,6077228181.818,1.000,1.000,0.033,0.043,0.033,-0.055
1,bitcoin,1,8630.650,2018-03-19,8675.870,8182.400,141240000000,8344.120,6729110000,0.040,0.034,9030.852,6077228181.818,1.000,1.000,0.049,0.052,0.058,0.014
2,bitcoin,1,8223.680,2018-03-18,8245.510,7397.990,133547000000,7890.520,6639190000,0.045,0.042,9030.852,6077228181.818,1.000,1.000,0.039,-0.012,-0.052,0.500
3,bitcoin,1,7916.880,2018-03-17,8346.530,7812.820,140834000000,8321.910,4426150000,0.003,-0.049,9030.852,6077228181.818,1.000,1.000,-0.051,-0.028,0.000,-0.163
4,bitcoin,1,8338.350,2018-03-16,8585.150,8005.310,140834000000,8322.910,5289380000,0.032,0.002,9030.852,6077228181.818,1.000,1.000,0.005,0.019,0.004,-0.226
5,bitcoin,1,8300.860,2018-03-15,8428.350,7783.050,140275000000,8290.760,6834430000,0.017,0.001,9030.852,6077228181.818,1.000,1.000,0.004,-0.099,-0.100,0.062
6,bitcoin,1,8269.810,2018-03-14,9355.850,8068.590,155891000000,9214.650,6438230000,0.015,-0.103,9030.852,6077228181.818,1.000,1.000,-0.101,-0.012,0.005,0.075
7,bitcoin,1,9194.850,2018-03-13,9470.380,8958.190,155168000000,9173.040,5991140000,0.032,0.002,9030.852,6077228181.818,1.000,1.000,-0.001,-0.047,-0.045,-0.072
8,bitcoin,1,9205.120,2018-03-12,9937.500,8956.430,162421000000,9602.930,6457400000,0.035,-0.041,9030.852,6077228181.818,1.000,1.000,-0.039,0.023,0.085,0.026
9,bitcoin,1,9578.630,2018-03-11,9711.890,8607.120,149716000000,8852.780,6296370000,0.097,0.082,9030.852,6077228181.818,1.000,1.000,0.080,0.019,-0.053,0.169
10,bitcoin,1,8866.000,2018-03-10,9531.320,8828.470,158119000000,9350.590,5386320000,0.019,-0.052,9030.852,6077228181.818,1.000,1.000,,,,
11,ethereum,2,557.170,2018-03-20,567.090,521.200,54722100000,556.720,1833680000,0.019,0.001,652.060,1738068181.818,2.000,2.000,0.001,0.016,0.019,-0.104
12,ethereum,2,556.730,2018-03-19,558.100,519.120,53718600000,546.630,2046790000,0.021,0.018,652.060,1738068181.818,2.000,2.000,0.034,0.012,-0.009,-0.238
13,ethereum,2,538.640,2018-03-18,551.640,460.090,54200100000,551.640,2685500000,0.000,-0.024,652.060,1738068181.818,2.000,2.000,-0.026,-0.094,-0.083,1.118
14,ethereum,2,552.780,2018-03-17,609.150,549.100,59104200000,601.680,1267810000,0.012,-0.081,652.060,1738068181.818,2.000,2.000,-0.081,-0.022,-0.016,-0.106
15,ethereum,2,601.670,2018-03-16,623.170,587.860,60083700000,611.780,1417350000,0.019,-0.017,652.060,1738068181.818,2.000,2.000,-0.016,0.004,-0.005,-0.199
16,ethereum,2,611.300,2018-03-15,620.620,579.500,60371800000,614.840,1770460000,0.009,-0.006,652.060,1738068181.818,2.000,2.000,-0.005,-0.117,-0.110,-0.022
17,ethereum,2,614.290,2018-03-14,702.780,594.100,67857600000,691.220,1810560000,0.017,-0.111,652.060,1738068181.818,2.000,2.000,-0.111,-0.015,-0.010,0.270
18,ethereum,2,690.830,2018-03-13,713.740,682.350,68524000000,698.150,1425960000,0.022,-0.010,652.060,1738068181.818,2.000,2.000,-0.013,-0.039,-0.036,-0.192
19,ethereum,2,699.830,2018-03-12,742.510,683.270,71086000000,724.410,1765000000,0.025,-0.034,652.060,1738068181.818,2.000,2.000,-0.033,0.009,0.057,0.129
20,ethereum,2,723.340,2018-03-11,735.830,668.120,67235700000,685.310,1562680000,0.074,0.055,652.060,1738068181.818,2.000,2.000,0.053,-0.016,-0.061,0.019
21,ethereum,2,686.890,2018-03-10,748.030,682.700,71620700000,730.160,1532960000,0.024,-0.059,652.060,1738068181.818,2.000,2.000,,,,
22,ripple,3,0.710,2018-03-20,0.737,0.673,28802900000,0.737,814276000,0.000,-0.037,0.767,594111090.909,3.000,3.000,-0.052,-0.016,0.096,-0.258
23,ripple,3,0.749,2018-03-19,0.749,0.640,26274600000,0.672,1096930000,0.114,0.114,0.767,594111090.909,3.000,3.000,0.137,0.106,0.059,0.188
24,ripple,3,0.659,2018-03-18,0.678,0.549,24802400000,0.634,923606000,0.068,0.038,0.767,594111090.909,3.000,3.000,0.033,-0.017,-0.077,1.888
25,ripple,3,0.638,2018-03-17,0.689,0.627,26885100000,0.688,319824000,0.002,-0.073,0.767,594111090.909,3.000,4.000,-0.075,-0.031,-0.016,-0.364
26,ripple,3,0.689,2018-03-16,0.712,0.674,27327600000,0.699,502740000,0.018,-0.014,0.767,594111090.909,3.000,3.000,-0.011,-0.026,-0.005,-0.434
27,ripple,3,0.697,2018-03-15,0.731,0.644,27478100000,0.703,888345000,0.039,-0.008,0.767,594111090.909,3.000,3.000,-0.007,-0.086,-0.110,0.854
28,ripple,3,0.702,2018-03-14,0.799,0.676,30865600000,0.790,479149000,0.012,-0.111,0.767,594111090.909,3.000,3.000,-0.111,-0.008,-0.011,0.713
29,ripple,3,0.790,2018-03-13,0.806,0.778,31213000000,0.798,279679000,0.009,-0.011,0.767,594111090.909,3.000,4.000,-0.014,-0.039,-0.040,-0.212
30,ripple,3,0.801,2018-03-12,0.838,0.788,32529500000,0.832,355031000,0.007,-0.037,0.767,594111090.909,3.000,4.000,-0.036,-0.002,0.046,-0.249
31,ripple,3,0.831,2018-03-11,0.840,0.776,31108000000,0.796,472972000,0.056,0.044,0.767,594111090.909,3.000,4.000,0.043,-0.023,-0.069,0.175
32,ripple,3,0.797,2018-03-10,0.860,0.794,33418600000,0.855,402670000,0.007,-0.068,0.767,594111090.909,3.000,3.000,,,,
33,bitcoin-cash,4,1059.120,2018-03-20,1072.420,958.510,16996000000,998.170,503262000,0.074,0.061,1056.806,436052454.545,4.000,4.000,0.065,0.075,0.059,0.183
34,bitcoin-cash,4,994.670,2018-03-19,997.280,915.510,16048000000,942.600,425419000,0.058,0.055,1056.806,436052454.545,4.000,4.000,0.060,0.052,-0.006,-0.022
35,bitcoin-cash,4,938.120,2018-03-18,948.280,851.610,16143000000,948.280,435070000,0.000,-0.011,1056.806,436052454.545,4.000,4.000,-0.012,-0.078,-0.027,0.058
36,bitcoin-cash,4,949.780,2018-03-17,1028.730,930.440,16591000000,974.700,411316000,0.055,-0.026,1056.806,436052454.545,4.000,3.000,-0.028,-0.024,0.033,-0.129
37,bitcoin-cash,4,977.030,2018-03-16,1053.630,902.780,16059900000,943.600,472033000,0.117,0.035,1056.806,436052454.545,4.000,4.000,0.035,0.104,-0.006,0.260
38,bitcoin-cash,4,943.640,2018-03-15,954.410,877.100,16163200000,949.770,374741000,0.005,-0.006,1056.806,436052454.545,4.000,4.000,-0.006,-0.111,-0.114,-0.078
39,bitcoin-cash,4,949.470,2018-03-14,1073.120,924.410,18233000000,1071.500,406616000,0.002,-0.114,1056.806,436052454.545,4.000,4.000,-0.108,-0.024,0.020,-0.112
40,bitcoin-cash,4,1064.030,2018-03-13,1100.070,999.750,17883400000,1051.070,458028000,0.047,0.012,1056.806,436052454.545,4.000,3.000,0.012,-0.046,-0.081,0.076
41,bitcoin-cash,4,1051.280,2018-03-12,1152.560,1022.030,19461500000,1143.940,425558000,0.008,-0.081,1056.806,436052454.545,4.000,3.000,-0.082,-0.004,0.141,-0.172
42,bitcoin-cash,4,1145.170,2018-03-11,1157.070,973.360,17054300000,1002.550,514167000,0.154,0.142,1056.806,436052454.545,4.000,3.000,0.138,0.064,-0.064,0.388
43,bitcoin-cash,4,1005.930,2018-03-10,1087.300,994.190,18219100000,1071.150,370367000,0.015,-0.061,1056.806,436052454.545,4.000,4.000,,,,
